geoname_id,locale_code,continent_code,continent_name,country_iso_code,country_name,subdivision_1_iso_code,subdivision_1_name,subdivision_2_iso_code,subdivision_2_name,city_name,metro_code,time_zone,is_in_european_union
102358,ja,AS,アジア,SA,サウジアラビア王国,,,,,,,Asia/Riyadh,0
130758,ja,AS,アジア,IR,イラン・イスラム共和国,,,,,,,Asia/Tehran,0
174982,ja,AS,アジア,AM,アルメニア共和国,,,,,,,Asia/Yerevan,0
248816,ja,AS,アジア,JO,ヨルダン・ハシミテ王国,,,,,,,Asia/Amman,0
272103,ja,AS,アジア,LB,レバノン共和国,,,,,,,Asia/Beirut,0
285570,ja,AS,アジア,KW,クウェート,,,,,,,Asia/Kuwait,0
290291,ja,AS,アジア,BH,バーレーン,,,,,,,Asia/Bahrain,0
290557,ja,AS,アジア,AE,アラブ首長国連邦,,,,,,,Asia/Dubai,0
294640,ja,AS,アジア,IL,イスラエル国,,,,,,,Asia/Jerusalem,0
298795,ja,AS,アジア,TR,トルコ共和国,,,,,,,Europe/Istanbul,0
587116,ja,AS,アジア,AZ,アゼルバイジャン共和国,,,,,,,Asia/Baku,0
630336,ja,EU,ヨーロッパ,BY,ベラルーシ共和国,,,,,,,Europe/Minsk,0
660013,ja,EU,ヨーロッパ,FI,フィンランド共和国,,,,,,,Europe/Helsinki,1
690791,ja,EU,ヨーロッパ,UA,ウクライナ共和国,,,,,,,,0
719819,ja,EU,ヨーロッパ,HU,ハンガリー共和国,,,,,,,Europe/Budapest,1
732800,ja,EU,ヨーロッパ,BG,ブルガリア共和国,,,,,,,Europe/Sofia,1
783754,ja,EU,ヨーロッパ,AL,アルバニア共和国,,,,,,,Europe/Tirane,0
798544,ja,EU,ヨーロッパ,PL,ポーランド共和国,,,,,,,Europe/Warsaw,1
798549,ja,EU,ヨーロッパ,RO,ルーマニア,,,,,,,Europe/Bucharest,1
1252634,ja,AS,アジア,BT,ブータン王国,,,,,,,Asia/Thimphu,0
1668284,ja,AS,アジア,TW,台湾,,,,,,,Asia/Taipei,0
1694008,ja,AS,アジア,PH,フィリピン共和国,,,,,,,Asia/Manila,0
1814991,ja,AS,アジア,CN,中国,,,,,,,,0
1819730,ja,AS,アジア,HK,香港,,,,,,,Asia/Hong_Kong,0
1835841,ja,AS,アジア,KR,大韓民国,,,,,,,Asia/Seoul,0
1861060,ja,AS,アジア,JP,日本,,,,,,,Asia/Tokyo,0
1880251,ja,AS,アジア,SG,シンガポール,,,,,,,,0
1880252,ja,AS,アジア,SG,シンガポール,,,,,シンガポール,,Asia/Singapore,0
2017370,ja,EU,ヨーロッパ,RU,ロシア,,,,,,,,0
2038180,ja,AS,アジア,CN,中国,22,,,,長春市,,Asia/Harbin,0
2077456,ja,OC,オセアニア,AU,オーストラリア,,,,,,,,0
2158177,ja,OC,オセアニア,AU,オーストラリア,VIC,,,,メルボルン,,Australia/Melbourne,0
2215636,ja,AF,アフリカ,LY,社会主義人民リビア・アラブ国,,,,,,,Africa/Tripoli,0
2411586,ja,EU,ヨーロッパ,GI,ジブラルタル,,,,,,,Europe/Gibraltar,0
2510769,ja,EU,ヨーロッパ,ES,スペイン,,,,,,,,1
2623032,ja,EU,ヨーロッパ,DK,デンマーク王国,,,,,,,Europe/Copenhagen,1
2635167,ja,EU,ヨーロッパ,GB,イギリス,,,,,,,Europe/London,0
2643743,ja,EU,ヨーロッパ,GB,イギリス,ENG,,,,ロンドン,,Europe/London,0
2655045,ja,,,,,,,,,,,,0
2658434,ja,EU,ヨーロッパ,CH,スイス連邦,,,,,,,Europe/Zurich,0
2661886,ja,EU,ヨーロッパ,SE,スウェーデン王国,,,,,,,Europe/Stockholm,1
2694762,ja,EU,ヨーロッパ,SE,スウェーデン王国,E,,,,リンシェーピング,,Europe/Stockholm,1
2750405,ja,EU,ヨーロッパ,NL,オランダ王国,,,,,,,Europe/Amsterdam,1
2782113,ja,EU,ヨーロッパ,AT,オーストリア共和国,,,,,,,Europe/Vienna,1
2802361,ja,EU,ヨーロッパ,BE,ベルギー王国,,,,,,,Europe/Brussels,1
2921044,ja,EU,ヨーロッパ,DE,ドイツ連邦共和国,,,,,,,Europe/Berlin,1
2963597,ja,EU,ヨーロッパ,IE,アイルランド,,,,,,,Europe/Dublin,1
3017382,ja,EU,ヨーロッパ,FR,フランス共和国,,,,,,,Europe/Paris,1
3042225,ja,EU,ヨーロッパ,IM,マン島,,,,,,,Europe/Isle_of_Man,0
3077311,ja,EU,ヨーロッパ,CZ,チェコ共和国,,,,,,,Europe/Prague,1
3144096,ja,EU,ヨーロッパ,NO,ノルウェー王国,,,,,,,Europe/Oslo,0
3175395,ja,EU,ヨーロッパ,IT,イタリア共和国,,,,,,,Europe/Rome,1
5391811,ja,NA,北アメリカ,US,アメリカ,CA,カリフォルニア州,,,サンディエゴ,825,America/Los_Angeles,0
5803556,ja,NA,北アメリカ,US,アメリカ合衆国,WA,ワシントン州,,,,819,America/Los_Angeles,0
6252001,ja,NA,北アメリカ,US,アメリカ合衆国,,,,,,,America/Chicago,0
6255148,ja,EU,ヨーロッパ,,,,,,,,,,0
6290252,ja,EU,ヨーロッパ,RS,セルビア,,,,,,,Europe/Belgrade,0
